400 PA5-F-Debug-Answer.txt 6
 -140.4921   22.1570   82.4247   67.9865  -45.2838  -35.6595
    8.04    -7.90    47.09         8.05    -7.75    47.13     0.159
  -21.84   -23.69   -11.16       -21.83   -23.63   -11.24     0.098
  -36.51   -14.41   -46.51       -36.57   -14.44   -46.57     0.092
    2.62    26.11    17.12         2.63    26.04    17.14     0.072
   -4.30    26.40    31.82        -4.27    26.55    31.88     0.166
   -4.92   -23.71   -13.65        -4.94   -23.66   -13.68     0.069
    0.57    22.30     8.20         0.49    22.36     8.12     0.127
  -11.89   -29.91   -28.75       -11.86   -29.96   -28.76     0.060
   29.65    14.48    17.23        29.59    14.43    17.19     0.082
    9.24   -14.24     3.54         9.24   -14.25     3.55     0.007
   -2.06    11.57    -3.24        -2.05    11.53    -3.23     0.044
   -2.59    13.21    54.08        -2.60    13.21    54.10     0.030
   26.66    -3.72    39.88        26.61    -3.67    39.87     0.076
  -12.21    -8.21     7.75       -12.18    -8.17     7.73     0.061
  -40.89   -18.94   -19.48       -40.88   -18.94   -19.48     0.002
  -19.87   -30.71   -18.31       -19.88   -30.69   -18.34     0.036
  -39.78   -21.71   -20.26       -39.82   -21.75   -20.24     0.058
  -20.11   -19.73    -9.04       -20.11   -19.73    -9.02     0.011
  -30.54     5.53   -42.00       -30.56     5.63   -42.07     0.123
   -4.18    12.18    48.06        -4.24    12.19    48.07     0.064
  -28.71     4.78   -16.09       -28.70     4.76   -16.12     0.039
  -28.13     5.72   -43.13       -28.12     5.70   -43.12     0.028
   14.65    25.47    35.13        14.66    25.50    35.13     0.027
  -30.40     9.16   -34.87       -30.40     9.18   -34.88     0.022
  -21.43    -0.56    -3.75       -21.36    -0.57    -3.77     0.079
   21.74     4.63    56.01        21.75     4.64    56.05     0.040
  -17.94    10.07   -36.57       -17.92    10.13   -36.58     0.058
  -29.17   -29.12   -18.95       -29.13   -29.00   -19.00     0.139
  -11.46    19.28    12.56       -11.53    19.32    12.45     0.128
  -25.20     0.41   -48.35       -25.20     0.38   -48.33     0.037
   27.96     1.93    48.40        27.74     1.98    48.36     0.231
  -14.79     9.40    13.22       -14.62     9.39    13.23     0.162
    7.34    21.44    -6.22         7.36    21.42    -6.21     0.033
  -15.56   -26.48   -15.97       -15.56   -26.53   -15.94     0.062
  -16.97   -26.27   -43.65       -16.98   -26.22   -43.60     0.074
  -14.11   -27.36   -41.16       -14.11   -27.37   -41.16     0.008
    5.23    25.69    28.44         5.23    25.70    28.44     0.007
   19.57   -13.25    -0.15        19.57   -13.29    -0.13     0.046
   -0.97   -19.34   -31.71        -0.82   -19.37   -31.72     0.162
  -30.20   -23.03   -12.35       -30.20   -23.03   -12.35     0.005
    5.27     1.70   -16.34         5.28     1.72   -16.36     0.034
   -1.46    -4.66    55.50        -1.44    -4.64    55.49     0.024
    9.42    26.28     3.20         9.40    26.32     3.19     0.053
  -11.41   -27.16   -37.88       -11.44   -27.11   -37.86     0.065
  -14.49   -31.06   -24.27       -14.50   -31.00   -24.27     0.064
   14.98    25.58    35.79        14.96    25.44    35.79     0.145
    0.64    22.72     8.35         0.60    22.75     8.32     0.062
   15.88    -6.40    38.82        15.88    -6.34    38.82     0.054
  -33.07   -22.43   -13.58       -33.09   -22.47   -13.54     0.063
  -27.90   -13.65   -50.42       -27.90   -13.65   -50.42     0.002
   36.94     7.96    11.82        36.97     7.98    11.84     0.036
  -43.98   -12.04   -27.61       -43.96   -12.03   -27.61     0.023
  -30.88    -5.46   -10.77       -30.88    -5.47   -10.79     0.025
   32.89     6.83   -20.06        32.86     6.84   -20.06     0.034
   34.90    -2.59     5.46        34.85    -2.55     5.47     0.061
  -25.96     8.46   -18.91       -25.96     8.45   -18.92     0.014
   16.58    25.84    26.66        16.58    25.81    26.66     0.026
  -11.79     9.11     0.92       -11.76     9.08     0.94     0.042
  -32.32    -4.62   -48.83       -32.34    -4.61   -48.86     0.043
  -15.34    17.70    14.40       -15.33    17.70    14.41     0.007
   -4.46    10.72    -3.41        -4.47    10.75    -3.43     0.034
   23.32     2.27   -23.92        23.30     2.28   -23.97     0.060
   16.11   -13.88    -9.65        16.09   -13.81    -9.60     0.089
  -14.29   -24.07   -12.42       -14.29   -24.09   -12.40     0.027
  -28.60   -31.42   -33.13       -28.60   -31.44   -33.13     0.021
   29.88    17.37    13.30        29.80    17.31    13.25     0.110
    9.81    24.44    -4.18         9.84    24.37    -4.17     0.074
    7.09    25.36    31.65         7.10    25.28    31.64     0.085
   -2.21    -4.22    54.26        -2.20    -4.20    54.26     0.024
