400 PA5-F-Debug-Output.txt 6
 -140.4854   21.4797   82.4886   68.3063  -45.1413  -35.4587
    8.04    -7.90    47.09         8.05    -7.76    47.12     0.140
  -21.84   -23.68   -11.16       -21.84   -23.63   -11.23     0.088
  -36.51   -14.40   -46.52       -36.57   -14.43   -46.56     0.078
    2.63    26.11    17.11         2.64    26.05    17.13     0.068
   -4.29    26.41    31.81        -4.26    26.54    31.86     0.146
   -4.92   -23.71   -13.64        -4.95   -23.65   -13.68     0.074
    0.59    22.30     8.19         0.49    22.37     8.10     0.146
  -11.90   -29.91   -28.74       -11.87   -29.96   -28.75     0.056
   29.66    14.47    17.23        29.61    14.43    17.19     0.069
    9.23   -14.25     3.54         9.23   -14.25     3.55     0.005
   -2.05    11.57    -3.25        -2.04    11.54    -3.23     0.038
   -2.58    13.22    54.07        -2.60    13.23    54.10     0.036
   26.66    -3.73    39.88        26.61    -3.68    39.87     0.064
  -12.21    -8.21     7.75       -12.19    -8.18     7.74     0.042
  -40.89   -18.93   -19.48       -40.89   -18.93   -19.48     0.002
  -19.88   -30.70   -18.31       -19.89   -30.69   -18.33     0.030
  -39.79   -21.70   -20.26       -39.83   -21.74   -20.24     0.063
  -20.12   -19.73    -9.03       -20.12   -19.73    -9.01     0.020
  -30.53     5.54   -42.00       -30.55     5.62   -42.06     0.108
   -4.17    12.19    48.05        -4.25    12.21    48.06     0.082
  -28.70     4.79   -16.09       -28.70     4.78   -16.12     0.030
  -28.12     5.72   -43.14       -28.11     5.69   -43.12     0.041
   14.67    25.47    35.12        14.67    25.49    35.12     0.022
  -30.39     9.17   -34.88       -30.39     9.17   -34.88     0.008
  -21.43    -0.55    -3.75       -21.37    -0.56    -3.77     0.065
   21.74     4.64    56.01        21.75     4.64    56.04     0.032
  -17.93    10.07   -36.57       -17.92    10.12   -36.59     0.048
  -29.18   -29.11   -18.95       -29.14   -28.99   -18.99     0.136
  -11.45    19.29    12.55       -11.53    19.34    12.43     0.150
  -25.19     0.41   -48.36       -25.20     0.37   -48.32     0.052
   27.96     1.93    48.40        27.74     1.97    48.36     0.224
  -14.78     9.40    13.22       -14.65     9.40    13.22     0.131
    7.35    21.43    -6.23         7.36    21.43    -6.22     0.016
  -15.57   -26.47   -15.97       -15.57   -26.53   -15.93     0.067
  -16.98   -26.27   -43.65       -16.99   -26.21   -43.58     0.092
  -14.12   -27.37   -41.16       -14.12   -27.37   -41.16     0.003
    5.24    25.70    28.44         5.24    25.70    28.44     0.000
   19.57   -13.26    -0.15        19.57   -13.30    -0.13     0.044
   -0.98   -19.35   -31.71        -0.82   -19.38   -31.72     0.161
  -30.21   -23.02   -12.35       -30.21   -23.02   -12.34     0.014
    5.27     1.69   -16.34         5.29     1.72   -16.36     0.038
   -1.46    -4.64    55.50        -1.45    -4.64    55.50     0.005
    9.43    26.27     3.19         9.40    26.33     3.18     0.069
  -11.42   -27.16   -37.88       -11.46   -27.11   -37.85     0.073
  -14.50   -31.06   -24.26       -14.51   -31.00   -24.27     0.067
   15.00    25.58    35.78        14.98    25.43    35.78     0.150
    0.65    22.72     8.34         0.60    22.76     8.30     0.081
   15.88    -6.40    38.82        15.87    -6.36    38.82     0.042
  -33.08   -22.42   -13.58       -33.11   -22.46   -13.53     0.072
  -27.91   -13.65   -50.42       -27.90   -13.64   -50.39     0.025
   36.95     7.95    11.82        36.99     7.98    11.85     0.064
  -43.98   -12.02   -27.61       -43.96   -12.02   -27.61     0.026
  -30.88    -5.45   -10.77       -30.88    -5.46   -10.79     0.019
   32.90     6.81   -20.07        32.86     6.82   -20.06     0.033
   34.90    -2.60     5.46        34.86    -2.57     5.47     0.055
  -25.95     8.47   -18.92       -25.95     8.46   -18.92     0.001
   16.60    25.84    26.66        16.59    25.81    26.66     0.024
  -11.78     9.12     0.92       -11.76     9.10     0.93     0.027
  -32.31    -4.62   -48.83       -32.33    -4.61   -48.85     0.024
  -15.33    17.71    14.39       -15.34    17.72    14.37     0.021
   -4.45    10.72    -3.42        -4.47    10.76    -3.44     0.046
   23.32     2.26   -23.92        23.30     2.27   -23.98     0.060
   16.11   -13.89    -9.65        16.08   -13.82    -9.60     0.092
  -14.30   -24.07   -12.41       -14.30   -24.09   -12.39     0.030
  -28.61   -31.42   -33.13       -28.61   -31.43   -33.13     0.013
   29.89    17.36    13.29        29.82    17.31    13.25     0.094
    9.83    24.43    -4.19         9.85    24.38    -4.18     0.060
    7.10    25.37    31.64         7.11    25.28    31.63     0.085
   -2.21    -4.20    54.26        -2.21    -4.21    54.26     0.002
   -7.57   -12.61     4.44        -7.56   -12.58     4.42     0.037
  -15.06     6.02   -42.88       -15.10     5.98   -42.83     0.071
    9.37    24.70    35.45         9.39    24.59    35.40     0.129
   16.04     4.75    56.55        16.07     4.74    56.44     0.114
   -9.22     7.61   -15.19        -9.23     7.58   -15.19     0.035
   -9.65   -19.01    -6.35        -9.63   -18.94    -6.40     0.092
   17.48   -11.76     5.80        17.49   -11.79     5.81     0.030
  -31.69     0.92   -14.07       -31.73     0.95   -14.01     0.079
  -38.20     0.88   -38.32       -38.21     0.89   -38.33     0.023
   -2.06   -11.73    18.58        -2.05   -11.66    18.55     0.077
   39.24     8.27     5.67        39.22     8.27     5.67     0.022
   -3.88   -14.00     3.64        -3.88   -14.03     3.65     0.028
   15.20   -15.91    -3.66        15.20   -15.86    -3.66     0.055
  -18.24    17.88    21.39       -18.12    17.97    21.39     0.144
   29.50     3.88   -22.17        29.57     3.86   -22.21     0.073
   29.32     2.53    40.48        29.34     2.53    40.48     0.021
   30.09     1.26    36.00        30.17     1.22    36.01     0.087
   13.67    15.62   -27.21        13.69    15.63   -27.24     0.039
  -20.62   -20.44    -9.08       -20.62   -20.42    -9.16     0.081
  -17.71    17.25    20.39       -17.71    17.25    20.39     0.003
   -1.18    21.48     9.65        -1.21    21.50     9.63     0.041
  -12.14    11.56    21.63       -12.13    11.57    21.62     0.021
  -26.67   -22.72   -10.80       -26.66   -22.68   -10.85     0.068
   11.71    26.86    22.65        11.71    26.84    22.65     0.022
   28.36    19.89    -4.73        28.32    19.85    -4.73     0.054
   25.71    12.57    39.14        25.74    12.59    39.14     0.033
    4.42     5.68   -11.51         4.43     5.71   -11.53     0.034
  -39.45    -8.06   -40.32       -39.45    -8.06   -40.32     0.004
  -26.07    11.70   -29.36       -26.07    11.74   -29.36     0.038
   -2.92    -5.83    34.13        -3.02    -5.98    34.15     0.178
  -32.40   -18.53   -11.42       -32.40   -18.53   -11.41     0.015
   -2.53   -22.79   -14.64        -2.52   -22.81   -14.64     0.023
  -25.45   -27.71   -41.99       -25.45   -27.72   -42.00     0.017
   31.76    11.35   -17.15        31.78    11.38   -17.16     0.038
  -37.60   -14.09   -13.70       -37.55   -14.08   -13.73     0.063
   19.67   -10.33     6.88        19.66   -10.32     6.87     0.005
  -20.46   -21.45    -9.62       -20.46   -21.48    -9.59     0.042
   27.57     3.86    48.88        27.68     3.86    48.90     0.109
   25.61    13.13    36.69        25.50    13.03    36.67     0.145
   23.00    14.75    48.40        22.94    14.69    48.38     0.089
  -19.62    -0.40   -49.51       -19.62    -0.41   -49.50     0.015
    3.28    -7.83    34.70         3.28    -7.80    34.70     0.032
   -6.35     6.82    51.54        -6.24     6.78    51.55     0.122
  -35.33    -1.41   -45.28       -35.32    -1.42   -45.28     0.009
   29.27     9.28   -24.00        29.26     9.28   -23.99     0.018
   -6.18     1.12    33.55        -6.13     1.14    33.54     0.056
   -8.35   -23.12    -9.71        -8.36   -23.06    -9.74     0.065
   -5.38    -0.93    45.07        -5.48    -0.95    45.07     0.107
  -18.07    10.59   -34.08       -18.07    10.60   -34.08     0.006
   29.26    -2.97    28.90        29.36    -3.06    28.93     0.135
   25.09    -8.12   -18.54        25.07    -8.14   -18.60     0.059
  -15.61   -10.76   -49.77       -15.61   -10.76   -49.78     0.004
   -7.87   -27.65   -26.37        -7.85   -27.68   -26.37     0.038
    7.73    22.48    42.03         7.73    22.40    42.01     0.081
   16.28    27.25     7.62        16.30    27.30     7.61     0.058
   14.98    -6.36    25.92        14.98    -6.44    25.93     0.080
   11.12    -7.06    36.51        11.09    -6.87    36.51     0.190
   10.55    26.47     1.81        10.54    26.50     1.80     0.035
   -2.57    15.77     3.90        -2.56    15.74     3.91     0.028
  -25.48   -31.96   -34.45       -25.47   -31.90   -34.43     0.068
    6.06    13.57    -3.86         6.01    13.59    -3.93     0.079
   28.38    11.48   -23.29        28.35    11.45   -23.24     0.071
   27.07   -11.55   -17.98        27.17   -11.56   -18.07     0.130
   23.41    -3.18    56.26        23.40    -3.18    56.25     0.010
  -38.91   -17.32   -16.22       -38.92   -17.32   -16.21     0.014
    0.47    -7.00   -26.62         0.48    -7.00   -26.63     0.012
  -11.89     8.75   -24.56       -11.92     8.67   -24.55     0.084
   -6.50     3.29    37.07        -6.46     3.30    37.07     0.044
   36.76    11.75     0.99        36.76    11.74     0.99     0.005
    8.57   -16.29    -2.30         8.56   -16.41    -2.24     0.135
   18.11   -14.25    -8.86        18.05   -14.38    -8.95     0.170
   34.81    -3.97    10.36        34.77    -3.96    10.36     0.038
   13.96    25.38    36.22        13.95    25.42    36.23     0.042
  -37.85   -21.63   -17.62       -37.85   -21.63   -17.62     0.001
    6.82    -6.19   -19.81         6.75    -6.19   -19.70     0.128
