Point Number	Error in Unknown G	Error in Unknown H	Error in Unknown J
1			0.14811			0.77494			2.84084
2			0.60432			0.96266			0.46215
3			2.24293			0.67760			4.43498
4			0.76945			0.24216			1.77055
5			1.45001			0.51152			0.40509
6			0.80641			1.54260			0.10251
7			0.86017			0.24527			0.30031
8			2.61080			0.72909			0.79210
9			2.10517			0.48146			2.54912
10			0.96220			0.30248			2.07283
11			0.00198			1.43465			5.54007
12			2.45932			0.01729			1.06041
13			1.47099			1.38414			2.93195
14			1.34390			0.42595			1.44610
15			0.41964			2.43422			1.83156
16			1.44879			0.13935			0.57452
17			0.01526			0.29749			0.47596
18			1.96765			0.88617			0.87031
19			1.30039			0.65453			3.82845
20			1.02220			0.18214			1.17058
Average Error		1.20048			0.71629			1.77302
Max Error		2.61080			2.43422			5.54007
